GPCR,COMPOUND_ID,ACTIVITY_TYPE,STANDARD_VALUE,smiles
Q9Y5N1,1270064,Ki,-10,CC(C)N1CCN(CC1)C(=O)c2ccc3c(c2)c(cs3)CN4CCCCC4
P30968,168615,IC50,-0.28,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCCc6cccc7c6cccn7)C
P30968,178457,Ki,-0.53,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4ccc5c(c4)OCO5
P30968,434906,Ki,-1.72,Cc1c(c(=O)n(c(=O)n1Cc2ccccc2)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,331592,Ki,-2.86,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CNCc3ccc(cc3)OC)c4cccc(c4)OC
P30968,363759,Ki,-0.3,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4ccc(s4)Cl
P30559,322162,Ki,-10,COc1cc(ccc1C(=O)N2CCC(CC2)N3c4ccccc4COC3=O)OC(c5ccccc5)c6ccccc6
P30968,211808,IC50,-1.6,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)N)CN(C)Cc4ccccc4)Cc5ccccc5
P30968,60618,Ki,-2.68,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cccc(c4)O
P30968,169620,IC50,0.3,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)nsn7)C
P30968,170606,IC50,0.22,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)nn[nH]7)C
P28223,585142,Ki,-10,Cn1c(ccn1)c2cc(ccc2OCCN3CCCCC3)NC(=O)Nc4cc(cc(c4)F)F
P30968,185154,Ki,-1.48,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)c5ccccc5Cl
P30968,337748,Ki,-1.15,CCC(CC)OC(=O)c1cn(c2cc(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC)Cc5ccccc5F
P30968,299320,Ki,-2.63,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C)CNCC4CCCCC4)c5cccc(c5)OC
P30968,354524,IC50,0.4,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCCc6cc7c(nccn7)nc6)C
P30968,326804,Ki,-1.3,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CN(C)CCc3ccccn3)c4cccc(c4)OC
P30968,22196,Ki,-2.04,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc(cc4)C(C)C
P30968,273358,Ki,-1.61,CCC(CC)OC(=O)c1cn(c2nc(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)NC(=O)C(C)C)Cc5ccccc5F
P30968,115965,Ki,-1.85,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](CC(C)(C)C)N)c3cccc(c3F)OC
Q13639,1748,IC50,-10,COc1cc(c(cc1C(=O)NC2CCNCC2OC)Cl)N
P30968,255242,Ki,-1.83,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)NC3CCCC3)c4cccc(c4F)OC
P30968,25714,Ki,-2.15,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)NCc3ccccc3)c4cccc(c4)OC
P30968,513126,Ki,-2.04,c1ccc(cc1)[C@H]2CSc3n2c(=O)n(c(=O)c3c4ccccc4F)C[C@@H](c5ccccc5)N
P30968,417645,Ki,-0.48,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cccc(c4F)OC
P30968,308696,Ki,-2.46,CCCC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4ccccc4F)C(=O)OC(CC)CC)N5CCC6C=CC=CC6C5
P30968,197254,IC50,-1.76,CC(C)(C)NC(=O)Nc1ccc2c(c1)nc(n2CCOC)SCc3cc(ccc3OC)[N+](=O)[O-]
P30968,23737,Ki,-2.67,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc5c(c4)OC(O5)(F)F
P30968,315326,IC50,0.4,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C[C@@H]5CC[C@H]4C5)[C@H](C)CNCCCCc6ccncc6)C
P30968,399779,IC50,-1.75,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNC(=O)N6CCC(CC6)c7ccncc7)C
P30968,168539,IC50,0.4,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)nc[nH]7)C
P30968,280365,IC50,0.52,CC(C)C(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5cccc(c5)OC)CN(C)Cc6ccccc6
P30968,23673,Ki,-2.53,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc(cc4)C=C
P30968,474992,IC50,-1.32,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5ccc6c(c5)cccn6
P30968,362065,Ki,-0.59,Cc1c(c(=O)n(c(=O)n1Cc2cc(ccc2C(F)(F)F)F)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,115482,Ki,-1.2,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NC[C@H]4CC[C@@H](CC4)CN=C(N)N)C(CCC2(C)C)(C)C
P30968,303621,Ki,-1.75,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)CCc5ccccn5)c6cccc(c6)S
P30968,494232,IC50,-1.49,Cc1c(oc(n1)C)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P29274,1096410,Ki,-10,c1ccc(cc1)CCn2cc3c(n2)nc(nc3NC(=O)Nc4ccccc4)c5ccccc5
P30968,249982,IC50,-2.37,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)CCN6CCC(CC6)C(=O)N7CCOCC7)C
P30968,195924,IC50,-2.45,CC(C)n1c2ccc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)C4CC4
P30968,21936,IC50,0.22,CC(C)ONC(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5ccccc5)CN(C)Cc6ccccc6
P30968,339273,Ki,-2.19,CCCCNC(=O)c1cn(c2cc(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)NC(=O)CCC)Cc5ccccc5F
P30968,361313,Ki,-2.32,Cc1ccccc1Nc2nc(cs2)c3c(n(c(=O)n(c3=O)C[C@@H](c4ccccc4)N)Cc5c(cccc5F)F)C
P30968,426155,Kd,0.32,CC(C)C[C@@H](C(=O)NC(CCCCNC(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](C)C(=O)N)NC(=O)[C@H](CCCCNc2nc([nH]n2)N)NC(=O)C(CCCCNc3nc([nH]n3)N)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc4cccnc4)NC(=O)[C@H](Cc5ccc(cc5)Cl)NC(=O)[C@@H](Cc6ccc7ccccc7c6)NC(=O)C
Q99705,212941,Ki,-10,c1cc(cc(c1)c2ccc3c(c2)CCN(C3C4CCN(CC4)C5CCCC5)CC(=O)Nc6cc(cc(c6)Cl)Cl)C#N
P30968,503705,Ki,-0.57,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)N(C)CCCC(=O)O)c4cccc(c4F)OC
P30968,411526,Ki,0,Cc1cc2c(cc1Cc3ccc(o3)C(=O)Nc4c(nc(nc4OC)NCCNC)OC)C(OC2(C)C)(C)C
P30968,280430,Ki,-2.89,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C)NCCc3ccccn3)c4cccc(c4)OC
P30968,340524,Ki,-4.7,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)C)c3ccc(cc3)OC)C#N)Cc4ccccc4
P30968,314260,IC50,0.22,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccncc6)C
P30968,301103,Ki,-2.48,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C(=O)OC)CN(C)CCOC)c4cccc(c4)OC
P30968,49297,Ki,-1.04,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C)CN(C)Cc4ccccn4)c5cccc(c5)OC
P25100,90421,Ki,-10,CC1=C([C@H](NC(=O)N1C)c2ccc(c(c2)F)F)C(=O)NCCCN3CCC(CC3)c4ccc(cc4)F
P30968,406958,Ki,-2.23,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)NCC(=O)NCC#Cc6ccccc6
P30968,304308,Ki,-1.04,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)CCc5ccccn5)c6ccc7c(c6)OCO7
P30968,261979,IC50,0.7,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccc(=O)n(c6)C)C
P30968,131942,Ki,-2.11,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)C)C(=O)OC(CC)CC)Cc4ccccc4F
P30968,182893,IC50,-4,c1ccc(cc1)Cn2c3ccc(cc3nc2NCCN4CCOCC4)S(=O)(=O)NCc5ccc(cc5)F
P30968,492780,IC50,-1.52,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5cn(cn5)C
P30968,334148,Ki,-2.56,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)NC(=O)CCN)Cc5c(cccc5F)F)c6ccccc6
P30968,119391,Ki,-2.78,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)N)c3cccc(c3F)OC
P32245,439040,Ki,-10,Cc1ccc(c(c1)[C@H](C(C)C)N)N2CCN(CC2)C(=O)[C@@H]3CN(C[C@H]3c4ccc(cc4)Cl)C5CCN(CC5)C(C)C
P30968,413238,Ki,-1,Cc1c2ccccc2sc1CN3CCc4c(c(=O)n(c(=O)n4Cc5c(cccc5F)C(F)(F)F)CCN(C)CCc6ccccn6)C3
P30968,332616,Ki,-2.48,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)NC(=O)CCCN)Cc5c(cccc5F)F)c6ccccc6
P30968,185986,IC50,0.22,Cc1cc(cc(c1C)C)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4cnsn4)OCCC5CC6CCN5CC6
P30968,331855,Ki,-1.6,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCc4ccc(cc4)CNc5nccc(n5)NCC6CCCO6)C(CCC2(C)C)(C)C
P30411,552986,IC50,-10,Cc1ccc2cccc(c2n1)OCc3c(ccc(c3Cl)N(C)C(=O)CNC(=O)/C=C/c4ccc(cc4)C(=O)N(C)C)Cl.Cl
P30968,359668,IC50,-2.51,c1ccc(cc1)Cn2c3ccc(cc3nc2SCc4ccncc4)S(=O)(=O)NCc5ccc(cc5)F
P30968,436276,Ki,-1.32,Cc1c(c(=O)n(c(=O)n1Cc2ccc(cc2Cl)F)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,316362,IC50,-0.08,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C[C@H]5CC[C@@H]4C5)[C@H](C)CNCCc6ccncc6)C
P30968,166763,IC50,0.4,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCCc6cc-7ncnc7[nH]c6)C
P30968,111933,Ki,-1.93,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@H](C)CNCc3cccc(c3)F)c4cccc(c4)OC
P30411,559273,IC50,-10,Cc1cc(c2cccc(c2n1)OCc3c(cncc3Cl)Cl)n4ccnc4
P30968,321258,IC50,0.15,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccnc(c6)C#N)C
