GPCR,COMPOUND_ID,ACTIVITY_TYPE,STANDARD_VALUE,smiles
P25103,110340,Ki,-10,Cn1cc(c2c1cccc2)C[C@@H](C(=O)N(C)Cc3ccccc3)NC(=O)[C@@H]4CCCN4/C(=N/Cc5ccccc5Cl)/S
P30968,283170,Ki,-0.85,Cc1ccccc1CNC[C@@H](C)n2c(=O)c(c(n(c2=O)Cc3c(cccc3F)F)C)c4cccc(c4F)OC
P30968,117670,Ki,-0.81,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](CC(C)C)N)c3cccc(c3F)OC
P30968,235269,Ki,-1.18,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCN(C3)Cc5ccc(cc5)SC
P14416,1259005,Ki,-10,Cc1ccc(s1)c2ccc3c(c2)C(Cc4ccccc4S3)N5CCN(CC5)C
P30968,169873,IC50,-1.22,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCc6ccc7c(c6)nc[nH]7)C
P30968,364840,Ki,-1.3,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)c5ccc6c(c5)CCO6
P30968,48193,Ki,-2.54,Cc1c(c(=O)n2cc(nc2n1Cc3ccccc3F)C(C)(C)CNCCc4ccccn4)c5cccc(c5)OC
P07550,1263,Ki,-10,c1ccc(cc1)CCCCOCCCCCCNCC(c2ccc(c(c2)CO)O)O
P30968,392815,Ki,-2.72,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCCCN5C6CCCC6)C2
P30968,295595,IC50,-1.04,CCN(C(C)C)C(=O)c1ccc2c(c1)c(c([nH]2)c3cc(cc(c3)C)C)CCNCCCCc4cccnc4
P21917,127226,EC50,-10,c1ccc2c(c1)[nH]c(n2)CN3CCC(CC3)c4ccccn4
P30968,157412,IC50,0.22,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6cc-7nnnc7[nH]c6)C
P30968,352806,IC50,0.52,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6cc-7ncnc7[nH]c6)C
P30968,339211,Ki,-5.41,CN(CCc1ccccn1)Cc2c(c(c3n2c(=O)c(cn3Cc4ccccc4F)C(=O)OC5CCCC5)C#N)c6ccc(cc6)OC
P21554,452803,Ki,-10,CCN(CC)C(=O)c1ccc2c(c1)nc(n2CCC(C)C)Cc3ccc(cc3)OC4CCCC4
P30968,113059,Ki,-1.72,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CC(C)NCc3ccccn3)c4cccc(c4)OC
P30968,315325,IC50,0,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C[C@H]5CC[C@@H]4C5)[C@H](C)CNCCCCc6ccncc6)C
P30968,503624,Ki,-2.04,CCOC(=O)CNCc1ccc(cc1)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4F)C(F)(F)F
P30968,116071,Ki,-0.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](CC(C)C)NC)c3cccc(c3F)OC
P30968,425051,IC50,-4.3,CCOC(=O)c1cnc2c(c1O)c(c(s2)c3ccc(cc3)OC)CN(C)Cc4ccccc4
P30968,361513,Ki,-2.18,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4csc(n4)c5cccc(c5)C(F)(F)F
P30968,425178,Ki,-1.69,Cc1ccc(cc1F)c2nc(cs2)c3c(n(c(=O)n(c3=O)C[C@@H](c4ccccc4)N)Cc5c(cccc5F)F)C
P30968,310716,Ki,-2.41,Cc1c(c(=O)n(c(=O)n1C2CCCCC2)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,281776,Ki,-2.83,CCOc1ccc(cc1)c2c(n(c(=O)n(c2=O)CCN(C)CCc3ccccn3)Cc4c(cccc4F)F)C
P30968,304067,Ki,-3.98,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN5CCCN(CC5)C)c6ccc7c(c6)OCO7
P30968,434423,Ki,-0.96,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)CCc4ccccn4)C(=O)NC5CCCC5)Cc6ccccc6F
P30968,493565,IC50,-1.66,CCCCn1cnc(c1C)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P30968,334537,Ki,-1.15,CCOC(=O)c1cn(c2cc(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)NC(=O)C(C)C)Cc5ccccc5F
P30968,1092245,IC50,-1.67,CC(C)(C)c1ccc(cc1)c2cn3cccc(c3n2)N4CCN(CC4)Cc5ccc6c(c5)nccn6
P13945,102928,Ki,-10,COc1ccc(cc1)C(Cc2ccccc2)NCC(c3ccc(c(c3)NS(=O)(=O)C)O)O
P30968,1092627,IC50,-4,CCc1[nH]c(c(n1)CN2CCN(CC2)c3cccc4n3cc(n4)c5ccc(cc5)C(C)(C)C)C
P30968,130558,Ki,-0.04,CCCC(=O)Nc1ccc(cc1)c2cc3n(cc(c(=O)n3c2CN(C)CCc4ccccn4)C(=O)NCCCc5ccccc5)Cc6ccccc6F
P30968,235520,Ki,-1.54,Cc1ccc(cc1)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CCN(C)CCc5ccccn5)C2
P30968,352566,IC50,0.05,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCc6cccc7c6ccnc7)C
P32238,1806530,IC50,-10,CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)CNC(=O)[C@H](Cc4ccc(cc4)O)NC(=O)[C@H](C)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)[C@@H](CCC(=O)N)NC(=O)CN5CCN(CCN(CCN(CC5)CC(=O)O)CC(=O)O)CC(=O)O
P30968,359681,Ki,-1.43,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C(C)C)N(C)C)c3cccc(c3F)OC
P30968,430069,IC50,-0.04,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC4CC5)[C@H](C)CNCCc6ccc7c(c6)cn[nH]7)C
P30968,182639,IC50,-2.91,c1ccc(cc1)Cn2c3ccc(cc3nc2SCc4ccccn4)S(=O)(=O)NCc5ccc(cc5)F
P30968,71793,Ki,-1.46,CCCC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4ccccc4F)C(=O)OC(CC)CC)CN(C)Cc5ccco5
P30968,333213,Ki,-1.88,CCN(CC)CCN(C)Cc1c2c(=O)n(c(=O)n(c2sc1c3ccc(cc3)[N+](=O)[O-])Cc4c(cccc4F)F)c5ccccc5
P30968,365366,IC50,-0.3,Cc1cc(cc(c1C)C)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4ccncn4)OCC[C@@H]5CCC[C@@H](N5C)C(F)(F)F
P30968,176056,Ki,-1.3,COc1cccc(c1F)n2c(=O)n(c(=O)n(c2=O)CC(c3ccccc3F)N)Cc4c(cccc4F)F
P30968,179269,IC50,-1.53,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)NC)c4cccc(c4)OC
P30968,50009,Ki,-1.48,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C)CNCc4ccccn4)c5cccc(c5)OC
P30968,21185,IC50,-1.3,CCC(=O)N(C)c1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5cccc(c5)OC)CN(C)Cc6ccccc6
P30968,432922,Ki,-1.26,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)CCc5ccccn5)c6ccc(cc6)OC
P30968,360935,Ki,-0.93,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](c3ccccc3)N)c4ccc(cc4)Oc5ccccc5
P30968,23830,Ki,-1.53,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cccc(c4)OC
P30968,75347,Ki,0.15,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2Cl)F)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,280126,IC50,0.7,CC(C)NC(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5ccccc5)CN(C)Cc6ccccc6
P48039,134832,Ki,-10,CC(C)C(=O)NCCC1CCc2c1cc(cc2)OC
Q9Y5N1,1641830,Ki,-10,COc1cc(cc(c1)OC)c2nnc(s2)N3CCC(CC3)N4CCCCC4
P30968,168649,IC50,-0.48,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCc6ccc7c(c6)cccn7)C
P14416,389559,Ki,-10,CN1CCCc2ccccc2Cc3ccc(cc3CCC1)O
P30968,237834,Ki,-4,CN(CCc1ccccn1)CCn2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CCN(C3)Cc5ccc(cc5)n6ccnc6
P30968,235270,Ki,-0.7,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CCN(C)CCc5ccccn5)C2
P30968,379629,IC50,1.22,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)NC(=O)NC)CN(C)Cc4ccccc4)Cc5c(cccc5F)F
P30968,452474,Ki,-1,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)C(F)(F)F)C[C@@H](c3ccccc3)N)c4cccc(c4F)OCCC(=O)O
P30968,23231,Ki,-3.18,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cccc(c4)COC
P30968,190671,Ki,-1.48,CC(C)S(=O)(=O)c1cccc(c1Cn2cc(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)c4cccc(c4F)OC)F
P29274,540156,Ki,-10,c1cc(oc1)c2c(c(nc(n2)N)NC(=O)c3ccncc3)[N+](=O)[O-]
P25024,233346,IC50,-10,c1ccc(cc1)Oc2ccccc2NC3=NS(=O)(=O)c4cc(cc(c4N3)O)Cl
P14416,159742,Ki,-10,Cc1ccc(c(c1)OC)CN2CCN(CC2)C3CCc4cccc5c4N(C3=O)C(C5)(C)C
P21462,266089,IC50,-10,CC(C)C[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)NC(=O)[C@H](CCSC)NC(=O)NC(=C)C
P30968,23900,Ki,-2.36,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc(cc4)OC
P21453,1096787,EC50,-10,C/N=C\1/N(C(=O)/C(=C/c2ccc(c(c2)Cl)O)/S1)c3ccccc3
P30968,340677,Ki,-6.32,CN(CCc1ccccn1)Cc2c(c(c3n2c(=O)c(cn3Cc4ccccc4F)C(=O)OC5CCOC5)C#N)c6ccc(cc6)OC
P30968,190929,Ki,-0.26,CCOc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4F)C(F)(F)F
P30968,179977,IC50,-2.43,c1ccc(cc1)Cn2c3ccc(cc3nc2SCCO)S(=O)(=O)NCc4ccc(cc4)F
P30968,364246,IC50,-2.56,CC(C)(C)NC(=O)Nc1ccc2c(c1)nc(n2CCc3ccccc3)SCc4cc(ccc4OC)[N+](=O)[O-]
P30968,280213,IC50,0.4,CC(C)C(=O)Nc1ccc(cc1)c2c(c3c(=O)n(c(=O)n(c3s2)Cc4c(cccc4F)F)c5ccccc5)CN(C)Cc6ccccc6
P30968,303811,Ki,-2.72,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN3CCCC3c4ccccn4)c5cccc(c5)OC
P30968,366236,IC50,-1.62,CCn1c2ccc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)NC(C)(C)C
Q9Y5Y4,589106,IC50,-10,c1ccc2c(c1)OCC(O2)c3nc(c(s3)CC(=O)O)c4ccc(cc4)Cl
P30968,236545,Ki,-2.99,COc1cccc(c1)n2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CNCC3
P41145,100459,Ki,-10,CC1C2Cc3ccc(cc3[C@@]1(CCN2CC4C[C@@]4(c5ccccc5)C(=O)NC(CC(C)C)C(=O)NCCCCCN=C(N)N)C)O
P30968,1092638,IC50,-0.99,CCc1[nH]c(c(n1)CN2CCN(CC2)c3cccn4c3nc(c4)c5ccc(cc5)C(C)(C)C)C
P21554,471671,Ki,-10,Cc1ccc(cc1S(=O)(=O)N2CCOCC2)NC(=O)C(C(C)(C)C)C(C)(C)C
P30968,131751,IC50,-3.3,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)OC)CNC)Cc4ccccc4OC
P30968,400390,IC50,-1.98,Cc1cc(cc(c1)c2c(c3cc(sc3[nH]2)C(C)(C)C(=O)N4CCCC4)[C@H](C)CNC(=O)N5CCC(C5)c6ccccc6)C
P30968,315909,IC50,-0.32,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4CC5CCC(C4)CC5)[C@H](C)CNCCCCc6ccncc6)C
P30968,22559,Ki,-2.57,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4cccc(c4)Cl
P30968,181945,Ki,-1.97,c1ccc(cc1)C(Cn2c(=O)c(c3n(c2=O)C(CS3)c4ccccc4F)c5ccccc5Cl)N
P30968,455769,Ki,-1.51,COc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)NCCCC(=O)OC)Cc4c(cccc4F)C(F)(F)F
P30968,300079,Ki,-0.9,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)CO)CN(C)Cc4ccccn4)c5cccc(c5)OC
P28223,261046,Ki,-10,C[C@@H](Cn1c2c(ccc3c2nco3)cn1)N
P30968,360056,Ki,-2.99,Cc1c(c(=O)n(c(=O)n1Cc2cccnc2)C[C@@H](c3ccccc3)N)c4ccccc4F
P30968,339968,Ki,-4.49,CCC(CC)OC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3ccccn3)c4ccc(cc4)OC5CCCC5)C#N)Cc6ccccc6F
P30968,187217,Ki,-1.69,Cc1ccc(cc1)Nc2nc(cs2)c3c(n(c(=O)n(c3=O)C[C@@H](c4ccccc4)N)Cc5c(cccc5F)F)C
P30968,130861,Ki,-4.45,CCOC(=O)c1cn(c2c(c(c(n2c1=O)CN(C)CCc3cccnc3)c4ccc(cc4)OCC(C)C)C#N)Cc5ccc(cc5F)F
P30968,326885,Ki,-3.92,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C3CCN(C3)CCc4ccccn4)c5cccc(c5)OC
P21731,303013,IC50,-10,Cc1c(c(c(c(c1CO)C)C(CCCCCC(=O)O)c2ccccc2)O)C
P30411,154633,IC50,-10,CCN(C)c1ccc(c(c1Cl)COc2cccn3c2nc(c3Br)C)Cl
P30968,23198,Ki,-2.23,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc5c(c4)c6ccccc6o5
P30968,494021,IC50,-1.92,Cc1cc(nn1C)CN2CCN(CC2)c3cccc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C
P30968,362403,IC50,-4,CCSc1nc2cc(ccc2n1CCc3ccccc3)S(=O)(=O)NCc4ccc(cc4)F
P30968,196351,IC50,-2.76,CC(C)n1c2ccc(cc2nc1SCc3cc(ccc3OC)C#N)NC(=O)C4CC4
P30968,316159,IC50,-0.75,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N(CC(C)C)CC(C)C)[C@H](C)CNCCCCc4ccncc4)C
P21730,171630,IC50,-10,C/N=C(/N)\Nc1ccc(c(c1)OCc2ccccc2)OCCCCc3ccccc3
P30968,333345,Ki,-0.97,Cc1cc2c(cc1Cc3ccc(o3)C(=O)NCc4cccc(c4)CNc5ccnc(n5)NC[C@H]6CCCO6)C(CCC2(C)C)(C)C
P30968,438652,IC50,-0.78,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N)NC(=O)CNC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc3cc4ccccc4[nH]3)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@@H]6CCC(=O)N6
P30968,333850,Ki,-0.38,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@H](C3CCCC3)N(C)C)c4cccc(c4F)OC
P30968,168506,IC50,0.22,Cc1ccc2c(ccnc2n1)CCCCNC[C@@H](C)c3c4cc(ccc4[nH]c3c5cc(cc(c5)C)C)C(C)(C)C(=O)N6C7CCC6CC7
P30968,1092626,IC50,-1.76,CCc1[nH]c(c(n1)CN2CCN(CC2)c3cncc4c3nc([nH]4)c5ccc(cc5)C(C)(C)C)C
P30968,406084,Ki,-2.97,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)NCCCCCC(=O)NCC#Cc6cccc(c6)C#CCNC(=O)CCCCCNC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P35372,345208,IC50,-10,c1ccc(c(c1)CO[C@@H]2CC[C@]3(C4Cc5ccc(c6c5C3([C@H]2O6)CCN4CC7CC7)O)O)N=C=S
P30968,277214,IC50,0.4,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)NC(=O)NO)Cc5c(cccc5F)F)c6ccccc6
P30968,193529,IC50,-2.78,CC(C)NC(=O)Nc1ccc2c(c1)nc(n2C(C)C)SCc3cc(ccc3OC)[N+](=O)[O-]
P30968,327704,IC50,0.15,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(C)(C)C(=O)N4C5CCC4CC5)[C@H](C)CNCCCCc6ccncc6)C
P30968,67820,Ki,-2.15,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)CCc5ccccn5)c6cccc(c6)C(F)(F)F
P51677,426089,Ki,-10,c1cc2cc(ccc2nc1)C(=O)NCC3CCCN(C3)C4CCN(CC4)Cc5ccc(c(c5)Cl)Cl
P30968,308154,Ki,-2.36,CCCCCn1c(c(c(=O)n(c1=O)C[C@@H](c2ccccc2)N)c3ccccc3F)C.C(=O)(C(F)(F)F)O
P30968,440212,IC50,-1.61,CCCn1c2c(cc(cc2nc1SCc3cc(ccc3OC)[N+](=O)[O-])NC(=O)NC(C)(C)C)C(=O)NC
P30968,430763,IC50,-1.74,Cc1cc(cc(c1)c2c(c3cc(ccc3[nH]2)C(=O)NC(C)C)CCNCCCCc4cccnc4)C
P30968,112881,Ki,-2.98,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@@H](C)CNC3CCCC3)c4cccc(c4)OC
P30968,112131,Ki,-3.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)[C@@H](C)CNCC(C)C)c3cccc(c3)OC
P30968,210321,IC50,0.4,CCC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)NC(=O)C(C)C)CN(C)Cc4ccccc4)Cc5c(cccc5F)F
P30968,360244,IC50,-2.83,c1ccc(cc1)CNCCSc2nc3cc(ccc3n2Cc4ccccc4)S(=O)(=O)NCc5ccc(cc5)F
P30968,508020,Ki,-0.56,CS(=O)(=O)c1cccc(c1Cn2cc(c(=O)n(c2=O)C[C@@H](c3ccccc3)NCCCC(=O)O)c4ccccc4Cl)F
P30968,185438,IC50,-2.39,Cc1cc(cc(c1C)C)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4cnsn4)OCCC5CCCC5
P30968,405814,Kd,0.07,CCNC(=O)CNC(=O)[C@H]1CCCN1C(=O)C(CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCNc2nc([nH]n2)N)NC(=O)C(CCCCNc3nc([nH]n3)N)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc4cccnc4)NC(=O)[C@H](Cc5ccc(cc5)Cl)NC(=O)[C@@H](Cc6ccc7ccccc7c6)NC(=O)C
P30968,210295,IC50,-1.48,CCOC(=O)c1cn(c2c(c1=O)c(c(s2)c3ccc(cc3)NC(=O)Nc4ccccc4)CN(C)Cc5ccccc5)Cc6ccccc6
P30968,74721,Ki,-1.43,Cc1c(c(=O)n(c(=O)n1Cc2ccccc2Cl)C[C@@H](c3ccccc3)N)c4ccccc4F.C(=O)(C(F)(F)F)O
P30968,23854,Ki,-1.18,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)C[C@@H](C)NCc3ccccn3)c4cccc(c4)OC
P30968,68985,Ki,-3.15,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)c4ccc(cc4)OC)CN(C)CCc5ccncc5)c6ccc7c(c6)OCO7
P08908,56156,Ki,-10,Cc1cccc2c1cc(s2)C3CCN(CC3)C[C@@H](COc4cccc5c4cc[nH]5)O
P30968,132339,Ki,-2.43,CC1(COC(=N1)c2cn(c3cc(c(n3c2=O)CN(C)CCc4ccccn4)c5ccc(cc5)[N+](=O)[O-])Cc6ccccc6F)C
P30968,494554,IC50,-1.32,CC(C)(C)c1ccc(cc1)c2[nH]c3cccc(c3n2)N4CCN(CC4)Cc5c[nH]cn5
P21554,519592,Ki,-10,CCN(CC)C(=O)c1ccc2c(c1)nc(n2C[C@@H]3CCCN3C)Cc4ccc(cc4)OCC
P30968,189164,Ki,-0.04,c1ccc(cc1)[C@H](Cn2c(=O)c(cn(c2=O)Cc3c(cccc3F)C(F)(F)F)c4ccccc4Cl)N
P25024,491506,Ki,-10,Cc1ccoc1[C@@H](C(C)(F)F)Nc2c(c(=O)c2=O)Nc3cccc(c3O)C(=O)N(C)C
P30968,51841,IC50,-0.76,CCC1CCC[C@H](N1)CCOc2c3cc(c(cc3nc(c2c4cc(cc(c4)C)C)O)Cl)C(=O)Nc5ccncn5
P30968,277435,IC50,-1.9,CN(Cc1ccccc1)Cc2c3c(=O)n(c(=O)n(c3sc2c4ccc(cc4)OC)Cc5c(cccc5F)F)c6ccccc6Cl
P30968,368511,Ki,-1.38,COc1cccc(c1F)n2c(=O)n(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4Br)F
P30968,22459,Ki,-2.08,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc(cc4)SC
P30968,183430,IC50,-2.36,c1ccc(cc1)Cn2c3ccc(cc3nc2SCCc4ccccn4)S(=O)(=O)NCc5ccc(cc5)F
P30968,262335,Ki,-2.92,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)ccn(c3n2)Cc4c(cccc4F)F)CN(Cc5ccccc5)CC(=O)NCCCC(=O)NCC#Cc6ccccc6C#CCNC(=O)CCCNC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P30968,130513,Ki,-2.28,CCOC(=O)c1cn(c2cc(c(n2c1=O)CN(C)Cc3ccccc3)c4ccc(cc4)N)Cc5ccccc5F
P25100,1203851,Ki,-10,c1ccc2c(c1)cc(s2)Cc3c[nH]cn3.Cl
P30968,436878,Ki,-3.48,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)ccn(c3n2)Cc4c(cccc4F)F)CN(Cc5ccccc5)CC(=O)N[C@@H](C)C(=O)NCC#Cc6ccccc6C#CCNC(=O)[C@H](C)NC(=O)CNC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P30968,398583,Ki,-2.99,COc1cccc(c1)n2c(=O)c3c(n(c2=O)Cc4c(cccc4F)F)CN(CC3)Cc5ccccc5OC
Q92847,392593,IC50,-10,COc1ccc(cc1)Cn2c(nnc2[C@@H](Cc3c[nH]c4c3cccc4)NC(=O)[C@H]5CCCCN5)CCc6ccccc6
P30968,366020,Ki,-1.28,COc1cccc(c1F)c2cn(c(=O)n(c2=O)C[C@@H](c3ccccc3)N)Cc4c(cccc4SC)F
P30968,23797,Ki,-1.58,Cc1c(c(=O)n(c(=O)n1Cc2c(cccc2F)F)CCN(C)CCc3ccccn3)c4ccc5c(c4)OCO5
P30968,300295,IC50,0.3,Cc1cc(cc(c1)c2c(c3cc(c(cc3nc2O)Cl)C(=O)Nc4ccncn4)OCC[C@@H]5CCC[C@H](N5)C)C
P20309,435158,IC50,-10,CN(C)C1(COc2ccccc2OC1)CN(C)CCc3ccccc3
P30968,260812,Ki,-2.79,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)NCCCCCC(=O)NCC#Cc6ccc(cc6)C#CCNC(=O)CCCCCNC(=O)CN(Cc7ccccc7)Cc8c(nc9n8c(=O)c(cn9Cc1c(cccc1F)F)C(=O)OCC)c1ccc(cc1)NC(=O)NCC
P30968,236966,Ki,-2.2,Cc1ccc(c(c1)C)CN2CCc3c(c(=O)n(c(=O)n3Cc4c(cccc4F)F)CC5CCCN(C5)Cc6ccccc6)C2
P25929,330703,Ki,-10,c1ccc2c(c1)nc(n2CCC3CCCCN3)COc4ccc(cc4)Cl
P30968,261649,Ki,-2.76,CCNC(=O)Nc1ccc(cc1)c2c(n3c(=O)c(cn(c3n2)Cc4c(cccc4F)F)C(=O)OCC)CN(Cc5ccccc5)CC(=O)NCCCC(=O)NCC#Cc6ccccc6
P35408,376347,Ki,-10,CCCCC[C@@H](CC[C@H]1CCC(=O)N1CCc2ccc(cc2)C(=O)O)O
P30968,466736,Ki,-1.11,COc1cccc(c1F)c2c(=O)n(c(=O)n(n2)Cc3c(cccc3F)C(F)(F)F)C[C@@H](c4ccccc4)N
P30968,370603,IC50,-3.81,Cc1cccc(c1)CSc2nc3cc(ccc3n2C(C)C)NC(=O)C4CC4
P30968,301322,Ki,-2.11,Cc1c(c(=O)n2c(c(nc2n1Cc3ccccc3F)C(C)(C)C(=O)OC)CN(C)CCc4ccccc4)c5cccc(c5)OC
P30968,368325,Activity,-1.72,CCOC(=O)C(C)(C)c1ccc2c(c1)c(c([nH]2)c3cc(cc(c3)C)C)CCCN4CCC(CC4)(c5ccccc5)O
P30968,185143,Ki,-0.85,CCOC(=O)Nc1ccc(cc1)c2nc(cs2)c3c(n(c(=O)n(c3=O)C[C@@H](c4ccccc4)N)Cc5c(cccc5F)F)C
